block_id	pair_count	oiltea_chromosomes	arabidopsis_chromosomes	CoLPAT_members_in_block	AtLPAT_members_in_block	paired_arabidopsis_genes_in_block	header
183	5	Chr12c	1	CoLPAT16	AtLPAT3(AT1G51260)	AT1G51170,AT1G51260,AT1G51310,AT1G51350,AT1G51510	# Alignment 183: score=176 pvalue=0.0417 N=5 Chr12c&1 minus
603	6	Chr2b	3	CoLPAT2		AT3G05170,AT3G05200,AT3G05290,AT3G05470,AT3G05510,AT3G05710	# Alignment 603: score=153 pvalue=0.2318 N=6 Chr2b&3 plus
629	7	Chr2c	3	CoLPAT4		AT3G05170,AT3G05200,AT3G05280,AT3G05290,AT3G05345,AT3G05500,AT3G05510	# Alignment 629: score=253 pvalue=0.0664 N=7 Chr2c&3 plus
685	10	Chr3b	1	CoLPAT6		AT1G01050,AT1G01090,AT1G01190,AT1G01300,AT1G01390,AT1G01470,AT1G01540,AT1G01600,AT1G01610,AT1G01650	# Alignment 685: score=315 pvalue=0.0872 N=10 Chr3b&1 minus
722	8	Chr3c	1	CoLPAT7		AT1G01370,AT1G01540,AT1G01580,AT1G01590,AT1G01600,AT1G01610,AT1G01790,AT1G01880	# Alignment 722: score=264 pvalue=0.1318 N=8 Chr3c&1 minus
